,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
145,495/2013,2013,2013-03-21 00:00:00,Achat de fournitures de bureau,Engagement,6480.0,PC FULL,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale TANGER TETOUAN (DRTT),Investissement
146,4009/2012,2012,2013-02-07 00:00:00,Achat de fournitures de bureau,Engagement,910800.0,MAPAMA,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
147,125/2013,2013,2013-02-08 00:00:00,Achat de fournitures de bureau,Engagement,990.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
148,797/2013,2013,2013-04-18 00:00:00,Missions									,Engagement,20400.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
149,1583/2013,2013,2013-06-17 00:00:00,Installations techniques,Engagement,33000.0,DISKROM SARL,Bon de commandes,"Installations techniques, Matériel et Outillage",Direction régionale TANGER TETOUAN (DRTT),Investissement
150,0027/2013/9310,2013,2013-06-18 00:00:00,Maintenance des agencements & installations techniques									,Engagement,7380.0,STE CONFEX CLIMA SARL,Bon de commandes,Maintenance,Direction régionale CHAOUIA TADLA (DRCT),Investissement
151,1619/2013,2013,2013-06-20 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
152,1670/2013,2013,2013-06-24 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
153,720/2013,2013,2013-04-08 00:00:00,Documentation générale									,Engagement,18176.0,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
154,712/2013,2013,2013-04-08 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,5460.0,CBI,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
155,4062/2012,2012,2013-02-13 00:00:00,"Autres mobiliers, mat.de bureau et aménagements divers",Engagement,498816.0,TOP GRAD,Marché Fournitures,Acquisition de mobilier de restauration,Siege,Investissement
156,69/2013,2013,2013-01-28 00:00:00,Formation									,Engagement,28000.0,Faculté des S.J.E.S settat,Bon de commandes,Formation,Siege,Investissement
157,894/2013,2013,2013-05-02 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3256.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
158,4/2013,2012,2013-01-02 00:00:00,Formation									,Engagement,45600.0,ARTEMIS S.A,Bon de commandes,Formation,Siege,Investissement
159,1518/2013,2013,2013-06-13 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,80.0,HEMOLAB PHARMA SA,Marché Fournitures,Fourniture de consommable médical,POLYCLINIQUE AGADIR,Investissement
160,1518/2013,2013,2013-06-13 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,80.0,HEMOLAB PHARMA SA,Marché Fournitures,Fourniture de consommable médical,Direction des moyens generaux,Investissement
161,948/2013,2013,2013-05-07 00:00:00,Maintenance des agencements & installations techniques									,Engagement,8580.0,FINATECH GROUP,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
162,1694/2013,2013,2013-06-27 00:00:00,Achat de fournitures de bureau,Engagement,34200.0,IMPRIMAHD,Bon de commandes,Travaux d'impression,Siege,Investissement
163,1743/2013,2013,2013-07-02 00:00:00,Achat de fournitures de bureau,Engagement,806.4,LA COMPAGNIE MAROCAINE DU STREET MARKETING,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
164,1796/2013,2013,2013-07-09 00:00:00,Achat de fournitures de bureau,Engagement,1344.0,LA COMPAGNIE MAROCAINE DU STREET MARKETING,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
165,146/2013,2013,2013-02-12 00:00:00,Achat de fournitures de bureau,Engagement,990.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
166,767/2013,2013,2013-04-16 00:00:00,Réception & participation aux manifestations officielles									,Engagement,21978.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
167,1169/2013,2013,2013-05-17 00:00:00,Location et charges locatives,Engagement,16200.0,ATTITUDES CONSEIL,Bon de commandes,LOCATION,Siege,Investissement
168,1207/2013,2013,2013-05-23 00:00:00,Achat de fournitures informatiques,Engagement,281539.2,NAVARA BURO,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
169,1210/2013,2013,2013-05-23 00:00:00,Achat de fournitures informatiques,Engagement,35262.0,RABAT BUREAU,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
170,1133/2013,2013,2013-05-16 00:00:00,Documentation générale									,Engagement,20033.0,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
171,229/2013/94100,2013,2013-04-30 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1400.0,RESTAURANT ZAGORA,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale FES-SAISS (DRFS),Investissement
172,890/2013,2013,2013-05-02 00:00:00,Documentation générale									,Engagement,812.0,LIBRAIRIE EL RAZI SETTAT,Bon de commandes,documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
173,2080/2013,2013,2013-08-01 00:00:00,Achat de fournitures de bureau,Engagement,396.0,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
174,329/2013,2013,2013-03-06 00:00:00,Achats de fournitures & Consommable médical,Engagement,37595.52,INSTITUT PASTEUR,Bon de commandes,Service,Siege,Investissement
175,340/2013,2013,2013-03-06 00:00:00,Honoraires									,Engagement,16500.0,REAL EXPERTISE,Bon de commandes,Service,Siege,Investissement
176,373/2013,2013,2013-02-28 00:00:00,Documentation générale									,Engagement,810.0,LIBRAIRIE EL RAZI SETTAT,Bon de commandes,documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
177,1606/2013,2013,2013-06-18 00:00:00,Formation									,Engagement,199200.0,TMIS,Marché Services,Formation,Siege,Investissement
178,3711/2012,2012,2013-01-04 00:00:00,Documentation générale									,Engagement,19589.0,PAPETERIE MOURAI,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
179,916/2013,2013,2013-01-02 00:00:00,Formation									,Engagement,231660.0,GROUPE MATRIX INFO,Marché Services,Formation,Siege,Investissement
180,917/2013,2013,2013-01-07 00:00:00,Formation									,Engagement,76140.0,GROUPE MATRIX INFO,Marché Services,Formation,Siege,Investissement
181,1965/2013,2013,2013-07-18 00:00:00,Missions									,Engagement,20054.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
182,1988/2013,2013,2013-07-19 00:00:00,Agencements et aménagements des constructions,Engagement,34388.48,DISKROM SARL,Bon de commandes,Travaux,Direction régionale TANGER TETOUAN (DRTT),Investissement
183,2545/2013,2013,2013-09-19 00:00:00,Achat de fournitures de bureau,Engagement,106.8,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
184,1061/2013,2013,2013-05-13 00:00:00,"Achats de travaux, études et prestations de service",Engagement,716276.0,ECN ,Marché Services,Service,Siege,Investissement
185,1371/2013,2013,2013-05-31 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1030.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
186,1723/2013,2013,2013-07-01 00:00:00,Achat de fournitures de bureau,Engagement,779.76,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
187,1756/2013,2013,2013-07-01 00:00:00,Maintenance des agencements & installations techniques									,Engagement,4230.0,STE SETTA SERVICES SARL,Bon de commandes,Maintenance,Direction régionale CHAOUIA TADLA (DRCT),Investissement
188,4150/2012,2012,2013-02-22 00:00:00,Agencements et aménagements des constructions,Engagement,1569174.0,ENTREPRISE NAJI,Marché Travaux,Travaux,Siege,Investissement
189,217/2013,2013,2013-02-18 00:00:00,Achat de fournitures de bureau,Engagement,990.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
190,255/2013/94100,2013,2013-05-16 00:00:00,Documentation générale									,Engagement,1019.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
191,2141/2013,2013,2013-08-06 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3907.2,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
192,1621/2013,2013,2013-06-20 00:00:00,Achat de fournitures de bureau,Engagement,259.92,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
193,1626/2013,2013,2013-06-20 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3393.2,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
194,674/2013,2013,2013-04-04 00:00:00,Location de matériel de transport									,Engagement,13680.0,FESKAM TRANSPORT,Bon de commandes,LOCATION,Siege,Investissement
195,4502/2014,2014,2014-12-23 00:00:00,Réception & participation aux manifestations officielles									,Engagement,372.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
196,4503/2014,2014,2014-12-23 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,231600.0,ART ET TRAVAUX,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
197,MN°004/2014/9310,2014,2014-08-05 00:00:00,Achat de fournitures informatiques,Engagement,161280.0,MONDOFFICE,Marché Fournitures,Acquisition de fournitures informatiques,Direction régionale CHAOUIA TADLA (DRCT),Investissement
198,1520/2014,2014,2014-06-02 00:00:00,Réception & participation aux manifestations officielles									,Engagement,352.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
199,1526/2014,2014,2014-06-02 00:00:00,Documentation générale									,Engagement,268.0,LIBRAIRIE PAPETERIE HANANE,Bon de commandes,documentation générale,Direction régionale CASA ANFA (DRCA),Investissement
200,4389/2014,2014,2014-12-19 00:00:00,Achat de fournitures de bureau,Engagement,216.0,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
201,4770/2013,2013,2013-06-30 00:00:00,Achat de fournitures de bureau,Engagement,80670.0,ETS EL KARAOUYINE,Marché Fournitures,ACQUISITION DE FOURNITURES DE BUREAU ET FOURNITURES INFORMATIQUESS,Direction régionale LAAYOUNE (DRLA),Investissement
202,1027/2014,2014,2014-04-23 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,4200.0,I O SYSTEM,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
203,DRRS 31/91100/2013*,2013,2013-01-31 00:00:00,Documentation générale									,Engagement,324.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
204,DRRS 43/91100/2013*,2013,2013-02-28 00:00:00,Documentation générale									,Engagement,288.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
205,DRRS 572/91100/2013,2013,2013-12-31 00:00:00,Documentation générale									,Engagement,1196.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
206,1547/2014,2014,2014-06-03 00:00:00,Achat de fournitures de bureau,Engagement,213.6,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
207,2006/2014,2014,2014-07-02 00:00:00,Documentation générale									,Engagement,858.0,LIBRAIRIE EL RAZI SETTAT,Bon de commandes,Documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
208,DRRS 244/91100/2013*,2013,2013-06-30 00:00:00,Documentation générale									,Engagement,300.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
209,2540/2014,2014,2014-07-10 00:00:00,Agencements et aménagements des constructions,Engagement,429384.0,ENTREPRISE KHARBOUCH YOUSSEF,Marché Travaux,Travaux,Siege,Investissement
210,1096/2014,2014,2014-02-01 00:00:00,Documentation générale									,Engagement,1074.0,Le monde de la presse,Bon de commandes,documentation générale,Direction régionale ORIENT (DRO),Investissement
211,DRRS 135/91100/2013*,2013,2013-04-30 00:00:00,Documentation générale									,Engagement,312.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
212,DRRS 84/91100/2013,2013,2014-05-20 00:00:00,Annonces et insertions,Engagement,1766.4,AL ALAM,Bon de commandes,Annonces et Insertions,Direction régionale RABAT SALE (DRRS),Investissement
213,2521/2014,2014,2014-08-29 00:00:00,Réception & participation aux manifestations officielles									,Engagement,5867.5,CENTRO SUPERMARCHE,Bon de commandes,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
214,2384/2014,2014,2014-08-12 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,3672.0,MED PLO,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale TANGER TETOUAN (DRTT),Investissement
215,2099/2014,2014,2014-07-09 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,1800.0,SURATEM SARL,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
216,4597/2014,2014,2014-12-12 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,1488.0,STE TOUNSADI HASSAN,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
217,788/2014/94100,2014,2014-12-26 00:00:00,Achat de fournitures de bureau,Engagement,10440.0,HAZZAZ BOUBKER,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale FES-SAISS (DRFS),Investissement
218,18/2013/96100,2013,2013-01-01 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2775.6,ETTALEB AZIZ,Bon de commandes,Entretien et réparation des biens mobiliers,EX (Direction Régionale Orientale),Investissement
219,3951/2014,2014,2014-08-28 00:00:00,"Achats de travaux, études et prestations de service",Engagement,602400.0,IFG STRATEGIE ET MANAGEMENT ,Marché Services,Service,Siege,Investissement
220,845/2014,2014,2014-03-19 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1030.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
221,851/2014,2014,2014-03-28 00:00:00,Achats de combustibles,Engagement,116499.86,TAOUIMA AFRIQUIA SMDC,Bon de commandes,Achat de combustibles,Direction régionale ORIENT (DRO),Investissement
222,1534/2014,2014,2014-06-02 00:00:00,Achat de fournitures de bureau,Engagement,84361.2,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
223,4749/2013,2013,2013-12-31 00:00:00,"Achats de travaux, études et prestations de service",Engagement,719.93,RIHAB CHARK RESTAURANT,Bon de commandes,Service,EX (Direction Régionale Orientale),Investissement
224,1430/2014,2014,2014-02-26 00:00:00,Achat de fournitures de bureau,Engagement,300.0,BUROPA,Marché Fournitures,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
